Year,UNIT_MEASURE,Admin_Area,Value
2009,NUMBER,west_herzegovina_canton,402
2009,NUMBER,sarajevo_canton,2804
2009,NUMBER,canton_10,249
2010,NUMBER,federation_of_bih,12906
2010,NUMBER,una-sana_canton,1766
2010,NUMBER,posavina_canton,172
2010,NUMBER,tuzla_canton,2542
2010,NUMBER,zenica-doboj_canton,2381
2010,NUMBER,bosnian-podrinje_canton,118
2010,NUMBER,central_bosnia_canton,1412
2010,NUMBER,herzegovina-neretva_canton,1098
2010,NUMBER,west_herzegovina_canton,358
2010,NUMBER,sarajevo_canton,2782
2010,NUMBER,canton_10,277
2011,NUMBER,federation_of_bih,12511
2011,NUMBER,una-sana_canton,1661
2011,NUMBER,posavina_canton,144
2011,NUMBER,tuzla_canton,2611
2011,NUMBER,zenica-doboj_canton,2279
2011,NUMBER,bosnian-podrinje_canton,164
2011,NUMBER,central_bosnia_canton,1272
2011,NUMBER,herzegovina-neretva_canton,1103
2011,NUMBER,west_herzegovina_canton,368
2011,NUMBER,sarajevo_canton,2655
2011,NUMBER,canton_10,254
2012,NUMBER,federation_of_bih,11936
2012,NUMBER,una-sana_canton,1504
2012,NUMBER,posavina_canton,154
2012,NUMBER,tuzla_canton,2576
2012,NUMBER,zenica-doboj_canton,2248
2012,NUMBER,bosnian-podrinje_canton,135
2012,NUMBER,central_bosnia_canton,1201
2012,NUMBER,herzegovina-neretva_canton,1014
2012,NUMBER,west_herzegovina_canton,374
2012,NUMBER,sarajevo_canton,2497
2012,NUMBER,canton_10,233
2013,NUMBER,federation_of_bih,11313
2013,NUMBER,una-sana_canton,1441
2013,NUMBER,posavina_canton,152
2013,NUMBER,tuzla_canton,2458
2013,NUMBER,zenica-doboj_canton,1997
2013,NUMBER,bosnian-podrinje_canton,137
2013,NUMBER,central_bosnia_canton,1078
2013,NUMBER,herzegovina-neretva_canton,1027
2013,NUMBER,west_herzegovina_canton,344
2013,NUMBER,sarajevo_canton,2453
2013,NUMBER,canton_10,226
2014,NUMBER,federation_of_bih,11891
2014,NUMBER,una-sana_canton,1468
2014,NUMBER,posavina_canton,140
2014,NUMBER,tuzla_canton,2461
2014,NUMBER,zenica-doboj_canton,2250
2014,NUMBER,bosnian-podrinje_canton,155
2014,NUMBER,central_bosnia_canton,1216
2014,NUMBER,herzegovina-neretva_canton,1048
2014,NUMBER,west_herzegovina_canton,333
2014,NUMBER,sarajevo_canton,2600
2014,NUMBER,canton_10,220
2015,NUMBER,federation_of_bih,12888
2015,NUMBER,una-sana_canton,1629
2015,NUMBER,posavina_canton,151
2015,NUMBER,tuzla_canton,2859
2015,NUMBER,zenica-doboj_canton,2458
2015,NUMBER,bosnian-podrinje_canton,155
2015,NUMBER,central_bosnia_canton,1318
2015,NUMBER,herzegovina-neretva_canton,1023
2015,NUMBER,west_herzegovina_canton,362
2015,NUMBER,sarajevo_canton,2664
2015,NUMBER,canton_10,269
2016,NUMBER,federation_of_bih,12790
2016,NUMBER,una-sana_canton,1746
2016,NUMBER,posavina_canton,122
2016,NUMBER,tuzla_canton,2821
2016,NUMBER,zenica-doboj_canton,2301
2016,NUMBER,bosnian-podrinje_canton,169
2016,NUMBER,central_bosnia_canton,1298
2016,NUMBER,herzegovina-neretva_canton,1067
2016,NUMBER,west_herzegovina_canton,392
2016,NUMBER,sarajevo_canton,2615
2016,NUMBER,canton_10,259
2017,NUMBER,federation_of_bih,12994
2017,NUMBER,una-sana_canton,1750
2017,NUMBER,posavina_canton,143
2017,NUMBER,tuzla_canton,2886
2017,NUMBER,zenica-doboj_canton,2397
2017,NUMBER,bosnian-podrinje_canton,137
2017,NUMBER,central_bosnia_canton,1428
2017,NUMBER,herzegovina-neretva_canton,1028
2017,NUMBER,west_herzegovina_canton,402
2017,NUMBER,sarajevo_canton,2561
2017,NUMBER,canton_10,262
2018,NUMBER,federation_of_bih,13061
2018,NUMBER,una-sana_canton,1842
2018,NUMBER,posavina_canton,117
2018,NUMBER,tuzla_canton,2879
2018,NUMBER,zenica-doboj_canton,2456
2018,NUMBER,bosnian-podrinje_canton,120
2018,NUMBER,central_bosnia_canton,1406
2018,NUMBER,herzegovina-neretva_canton,1071
2018,NUMBER,west_herzegovina_canton,405
2018,NUMBER,sarajevo_canton,2523
2018,NUMBER,canton_10,242
2019,NUMBER,federation_of_bih,12266
2019,NUMBER,una-sana_canton,1865
2019,NUMBER,posavina_canton,112
2019,NUMBER,tuzla_canton,2642
2019,NUMBER,zenica-doboj_canton,2207
2019,NUMBER,bosnian-podrinje_canton,125
2019,NUMBER,central_bosnia_canton,1325
2019,NUMBER,herzegovina-neretva_canton,1001
2019,NUMBER,west_herzegovina_canton,376
2019,NUMBER,sarajevo_canton,2382
2019,NUMBER,canton_10,231
2020,NUMBER,federation_of_bih,10224
2020,NUMBER,una-sana_canton,1391
2020,NUMBER,posavina_canton,78
2020,NUMBER,tuzla_canton,2120
2020,NUMBER,zenica-doboj_canton,1979
2020,NUMBER,bosnian-podrinje_canton,125
2020,NUMBER,central_bosnia_canton,1077
2020,NUMBER,herzegovina-neretva_canton,864
2020,NUMBER,west_herzegovina_canton,354
2020,NUMBER,sarajevo_canton,2029
2020,NUMBER,canton_10,207
2021,NUMBER,federation_of_bih,11503
2021,NUMBER,una-sana_canton,1771
2021,NUMBER,posavina_canton,118
2021,NUMBER,tuzla_canton,2307
2021,NUMBER,zenica-doboj_canton,2162
2021,NUMBER,bosnian-podrinje_canton,106
2021,NUMBER,central_bosnia_canton,1215
2021,NUMBER,herzegovina-neretva_canton,939
2021,NUMBER,west_herzegovina_canton,411
2021,NUMBER,sarajevo_canton,2229
2021,NUMBER,canton_10,245
2022,NUMBER,federation_of_bih,11038
2022,NUMBER,una-sana_canton,1526
2022,NUMBER,posavina_canton,93
2022,NUMBER,tuzla_canton,2221
2022,NUMBER,zenica-doboj_canton,2051
2022,NUMBER,bosnian-podrinje_canton,157
