Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2009,Broj,Federacija Bosne i Hercegovine,Oba spola,71610
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,74594
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,74565
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,72460
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,72601
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,71873
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,72112
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,69969
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,66027
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,62285
2009,Broj,Federacija Bosne i Hercegovine,M,31404
2010,Broj,Federacija Bosne i Hercegovine,M,32651
2011,Broj,Federacija Bosne i Hercegovine,M,32767
2012,Broj,Federacija Bosne i Hercegovine,M,31970
2013,Broj,Federacija Bosne i Hercegovine,M,31732
2014,Broj,Federacija Bosne i Hercegovine,M,31305
2015,Broj,Federacija Bosne i Hercegovine,M,31317
2016,Broj,Federacija Bosne i Hercegovine,M,30064
2017,Broj,Federacija Bosne i Hercegovine,M,28095
2018,Broj,Federacija Bosne i Hercegovine,M,25544
2009,Broj,Federacija Bosne i Hercegovine,Ž,40206
2010,Broj,Federacija Bosne i Hercegovine,Ž,41943
2011,Broj,Federacija Bosne i Hercegovine,Ž,41798
2012,Broj,Federacija Bosne i Hercegovine,Ž,40490
2013,Broj,Federacija Bosne i Hercegovine,Ž,40869
2014,Broj,Federacija Bosne i Hercegovine,Ž,40568
2015,Broj,Federacija Bosne i Hercegovine,Ž,40795
2016,Broj,Federacija Bosne i Hercegovine,Ž,39905
2017,Broj,Federacija Bosne i Hercegovine,Ž,37932
2018,Broj,Federacija Bosne i Hercegovine,Ž,36741
2009,Broj,Unsko-sanska županija,Oba spola,5008
2010,Broj,Unsko-sanska županija,Oba spola,4732
2011,Broj,Unsko-sanska županija,Oba spola,4588
2012,Broj,Unsko-sanska županija,Oba spola,3896
2013,Broj,Unsko-sanska županija,Oba spola,3355
2014,Broj,Unsko-sanska županija,Oba spola,3038
2015,Broj,Unsko-sanska županija,Oba spola,3011
2016,Broj,Unsko-sanska županija,Oba spola,2894
2017,Broj,Unsko-sanska županija,Oba spola,2547
2018,Broj,Unsko-sanska županija,Oba spola,2322
2009,Broj,Unsko-sanska županija,M,2019
2010,Broj,Unsko-sanska županija,M,1946
2011,Broj,Unsko-sanska županija,M,1919
2012,Broj,Unsko-sanska županija,M,1647
2013,Broj,Unsko-sanska županija,M,1422
2014,Broj,Unsko-sanska županija,M,1307
2015,Broj,Unsko-sanska županija,M,1268
2016,Broj,Unsko-sanska županija,M,1216
2017,Broj,Unsko-sanska županija,M,1016
2018,Broj,Unsko-sanska županija,M,893
2009,Broj,Unsko-sanska županija,Ž,2989
2010,Broj,Unsko-sanska županija,Ž,2786
2011,Broj,Unsko-sanska županija,Ž,2669
2012,Broj,Unsko-sanska županija,Ž,2249
2013,Broj,Unsko-sanska županija,Ž,1933
2014,Broj,Unsko-sanska županija,Ž,1731
2015,Broj,Unsko-sanska županija,Ž,1743
2016,Broj,Unsko-sanska županija,Ž,1678
2017,Broj,Unsko-sanska županija,Ž,1531
2018,Broj,Unsko-sanska županija,Ž,1429
2009,Broj,Tuzlanska županija,Oba spola,13896
2010,Broj,Tuzlanska županija,Oba spola,14557
2011,Broj,Tuzlanska županija,Oba spola,13535
2012,Broj,Tuzlanska županija,Oba spola,12147
2013,Broj,Tuzlanska županija,Oba spola,11686
2014,Broj,Tuzlanska županija,Oba spola,11074
2015,Broj,Tuzlanska županija,Oba spola,11231
2016,Broj,Tuzlanska županija,Oba spola,11338
2017,Broj,Tuzlanska županija,Oba spola,10920
2018,Broj,Tuzlanska županija,Oba spola,9956
2009,Broj,Tuzlanska županija,M,6038
