Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Spol,Value
2017,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,Oba spola,
2017,Broj,Hercegovačko-neretvanska županija,Vjerske škole,Oba spola,
2017,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2018,Broj,Hercegovačko-neretvanska županija,Gimnazija,Oba spola,
2018,Broj,Hercegovačko-neretvanska županija,Tehničke škole,Oba spola,
2018,Broj,Hercegovačko-neretvanska županija,Stručne škole,Oba spola,
2018,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,Oba spola,
2018,Broj,Hercegovačko-neretvanska županija,Vjerske škole,Oba spola,
2018,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2019,Broj,Hercegovačko-neretvanska županija,Gimnazija,Oba spola,
2019,Broj,Hercegovačko-neretvanska županija,Tehničke škole,Oba spola,
2019,Broj,Hercegovačko-neretvanska županija,Stručne škole,Oba spola,
2019,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,Oba spola,
2019,Broj,Hercegovačko-neretvanska županija,Vjerske škole,Oba spola,
2019,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2020,Broj,Hercegovačko-neretvanska županija,Gimnazija,Oba spola,
2020,Broj,Hercegovačko-neretvanska županija,Tehničke škole,Oba spola,
2020,Broj,Hercegovačko-neretvanska županija,Stručne škole,Oba spola,
2020,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,Oba spola,
2020,Broj,Hercegovačko-neretvanska županija,Vjerske škole,Oba spola,
2020,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2016,Broj,Zapadno-hercegovačka županija,Gimnazija,Oba spola,
2016,Broj,Zapadno-hercegovačka županija,Tehničke škole,Oba spola,
2016,Broj,Zapadno-hercegovačka županija,Stručne škole,Oba spola,
2016,Broj,Zapadno-hercegovačka županija,Umjetničke škole,Oba spola,
2016,Broj,Zapadno-hercegovačka županija,Vjerske škole,Oba spola,
2016,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2017,Broj,Zapadno-hercegovačka županija,Gimnazija,Oba spola,
2017,Broj,Zapadno-hercegovačka županija,Tehničke škole,Oba spola,
2017,Broj,Zapadno-hercegovačka županija,Stručne škole,Oba spola,
