Year,Пол,UNIT_MEASURE,Value
1997,M,Age,61.6
1998,M,Age,61.3
1999,M,Age,63.2
2000,M,Age,64.1
2001,M,Age,64.5
2002,M,Age,64.6
2003,M,Age,65.5
2004,M,Age,66.0
2005,M,Age,66.4
2006,M,Age,66.5
2007,M,Age,66.8
2008,M,Age,66.7
2009,M,Age,67.5
2010,M,Age,67.7
2011,M,Age,68.2
2012,M,Age,68.9
2013,M,Age,69.0
2014,M,Age,69.4
2015,M,Age,69.6
2016,M,Age,69.7
2017,M,Age,70.1
2018,M,Age,70.5
2019,M,Age,70.5
1997,Ж,Age,67.5
1998,Ж,Age,66.8
1999,Ж,Age,68.5
2000,Ж,Age,69.3
2001,Ж,Age,69.9
2002,Ж,Age,70.3
2003,Ж,Age,71.1
2004,Ж,Age,71.3
2005,Ж,Age,72.0
2006,Ж,Age,71.7
2007,Ж,Age,72.0
2008,Ж,Age,72.5
2009,Ж,Age,73.0
2010,Ж,Age,73.3
2011,Ж,Age,73.7
2012,Ж,Age,74.1
2013,Ж,Age,74.3
2014,Ж,Age,74.7
2015,Ж,Age,75.0
2016,Ж,Age,74.9
2017,Ж,Age,75.0
2018,Ж,Age,75.5
2019,Ж,Age,75.6
